Type	Details	Particulars	Code	Reference	Amount	Date	ForeignCurrencyAmount	ConversionCharge
Payment	Tichbon Kumer	Tfr Tichbons			1320.00	02/04/2019		
Payment	Miss G M Tich	Toh	Mentoring	Inv272C	545.50	02/04/2019		
Payment	Miss G M Tich	Nana	Week Stay		50.00	02/04/2019		
Deposit	W&I Benefit	G Tichbon	216437169359	Grace	50.00	02/04/2019		
Eft-Pos	Eastcare Medical	4367********	8503   C	190401091211	-40.00	01/04/2019		
Eft-Pos	Rainbow Chinese Take	4367********	8503   C	190330123538	-33.60	01/04/2019		
Eft-Pos	Fitzies Bakery & Caf	4367********	8503   C	190401083708	-11.70	01/04/2019		
Automatic Payment	Savings	Weekly	Savings		-150.00	28/03/2019		
Automatic Payment	Te Ora Hou Whanganui	Tohwhanganui	Kaitautoko		-40.00	28/03/2019		
Automatic Payment	Union Boat Club	Neo Tichbon	Subs		-10.00	28/03/2019		
Automatic Payment	Cullinane Board Of T	Neo School	Activity Fee	S	-10.00	28/03/2019		
Automatic Payment	Union Boat Club	Judy Kumeroa	Subs		-10.00	28/03/2019		
Automatic Payment	Youth For Christ	Incedo	Cell Phone		-10.00	28/03/2019		
Automatic Payment	Union Boat Club	Greg Tichbon	Subs		-10.00	28/03/2019		
Direct Debit	Anz Cback Visa Gold			60127610	-5964.57	28/03/2019		
Transfer	06-0996-0956968-04	Debit	Transfer	045753	-800.00	28/03/2019		
Direct Credit	Amp Limited	Amp Dividend	G Tichbon &	8Fnz01082448	14.62	28/03/2019		
Direct Credit	Amp Limited	Amp Dividend	G Tichbon &	8Fnz01082321	7.41	28/03/2019		
Deposit	Te Ora Hou Whanganui	J Kumeroa	Toh	Wage	1508.98	27/03/2019		
Transfer	4367-****-****-7610	Debit	Transfer	193136	-500.00	26/03/2019		
Transfer	06-0996-0956968-04	Debit	Transfer	192919	-500.00	26/03/2019		
Transfer	06-0996-0956968-04	Credit	Transfer	193155	500.00	26/03/2019		
Transfer	06-0996-0956968-04	Credit	Transfer	193026	500.00	26/03/2019		
Deposit	W&I Benefit	G Tichbon	216437169359	Grace	50.00	26/03/2019		
Eft-Pos	Gelatamore	4367********	8503   C	190324135131	-9.20	25/03/2019		
Transfer	06-0996-0956968-04	Debit	Transfer	185417	-600.00	25/03/2019		
Payment	Friends Of Ubc	Maadi		N Tichbon	-400.00	25/03/2019		
Atm Debit	Anz  S3B7519 Cambridge Br	Anz  S3B7519	Cambridge Br	Anch  134004	-100.00	25/03/2019		
Atm Debit	Bnz  Z3674 Paknsave Wha	Bnz  Z3674	Paknsave Wha	Nganu 092302	-60.00	25/03/2019		
Payment	S A Te Kumeroa	Grace Food			-50.00	25/03/2019		
Transfer	06-0996-0956968-04	Credit	Transfer	185511	6000.00	25/03/2019		
Bill Payment	D J Weston, L M John	Reimburse	Food Fuel	Nissc	734.43	25/03/2019		
Transfer	06-0996-0956968-04	Credit	Transfer	225359	400.00	25/03/2019		
